,playlist_yellow.csv,playlist_blue.csv,playlist_green.csv,playlist_red.csv,playlist_black.csv,playlist_purple.csv
0,"(1, 1)","(1, 1)","(1, 1)","(0, 0)","(1, 1)","(1, 1)"
1,"(0, 1)","(0, 1)","(1, 0)","(0, 0)","(1, 1)","(1, 1)"
2,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 1)","(1, 1)"
3,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
4,"(1, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(1, 0)"
5,"(1, 1)","(0, 0)","(0, 1)","(0, 0)","(1, 1)","(0, 1)"
6,"(0, 0)","(0, 1)","(0, 1)","(0, 0)","(1, 0)","(0, 0)"
7,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
