,features,coefficients
0,danceability,7.959862491019912
1,energy,-11.025128911448496
2,loudness,3.5186227192427495
3,liveness,-20.8667984728379
4,valence,-14.859010136043036
5,tempo,0.015861609370352525
6,duration_s,0.07789814873942724
7,speechiness,26.7812065437294
8,instrumentalness,-4.826984684104571
