,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
57,Unknown Mortal Orchestra,II,Swim and Sleep (Like a Shark),3h1iu4HvBlLqRuft2kJEcr,0.766,0.806,8,-10.011,1,0.0403,0.171,0.119,0.76,123.509,165227,4,27.0,Surf Rock Sunshine
58,King Tuff,Was Dead,Sun Medallion,2avVVXPzzk3aRD63rMr5SG,0.615,0.756,5,-5.14,0,0.0418,0.000142,0.0751,0.516,124.103,150713,4,0.0,Surf Rock Sunshine
59,Mac Miller,K.I.D.S.,The Spins,51pshtuYkgUQnt5huMPbKL,0.794,0.766,9,-3.894,0,0.0377,0.0,0.0785,0.55,127.007,195873,4,82.0,Surf Rock Sunshine
60,Widowspeak,All Yours,Stoned,5Uu6Kdcx62SVKbikkbM5oU,0.62,0.454,5,-8.907,1,0.0232,0.357,0.112,0.314,97.857,191279,4,13.0,Surf Rock Sunshine
61,Hoops,Routines,Sun's Out,7M9LKoGmelhGBj5jQACPd8,0.482,0.868,0,-6.105,1,0.0398,0.461,0.224,0.416,130.047,169016,4,45.0,Surf Rock Sunshine
62,Vundabar,Petty Crime,Petty Crime,4FMyAa7jAyWgiGUpRE5Ef8,0.493,0.79,9,-7.19,1,0.0386,0.0731,0.102,0.411,162.865,222769,4,11.0,Surf Rock Sunshine
63,Turnover,Good Nature,Super Natural,6As34Fmjj7dtReKB51NOVc,0.653,0.663,5,-7.941,1,0.0282,0.169,0.0985,0.555,120.976,257860,4,0.0,Surf Rock Sunshine
64,Mac DeMarco,2,Cooking Up Something Good,0sXE78JmUFQCZNl4TQHjjp,0.749,0.433,7,-7.646,1,0.0314,0.00185,0.148,0.807,98.142,161013,3,37.0,Surf Rock Sunshine
65,Spooky Mansion,Glass Mood Ring,Glass Mood Ring,5vESdDsnE8bXNKORL0CqQF,0.508,0.785,9,-4.842,1,0.042,3.47e-05,0.371,0.459,110.281,231021,4,0.0,Surf Rock Sunshine
66,j ember,Full Size Render,Full Size Render,13YkIo5DIQwpJvPjEzgY3D,0.628,0.479,7,-11.261,1,0.0282,0.0581,0.157,0.357,98.032,178599,4,38.0,Surf Rock Sunshine
67,Sugar Candy Mountain,666,Windows,6jvqaaUtBmcnxQnf5XKzFo,0.525,0.635,5,-7.805,1,0.0239,0.000114,0.122,0.668,82.445,192028,4,25.0,Surf Rock Sunshine
68,Allah-Las,Allah-Las,Catamaran,0y6Mp5Y1OxHtzxi6AwewPt,0.564,0.847,4,-5.845,0,0.0434,0.00281,0.0341,0.696,122.037,212987,4,0.0,Surf Rock Sunshine
69,Mac DeMarco,This Old Dog,One Another,4xF9zRaPdnrLU7QmVMKOzR,0.82,0.579,5,-9.601,1,0.0279,0.184,0.113,0.847,104.928,166213,4,27.0,Surf Rock Sunshine
70,Natural Child,Dancin' with Wolves,Out in the Country,7FWhvGFDMGo3BkuSI00rOi,0.436,0.511,0,-9.984,1,0.0319,0.0538,0.106,0.833,93.84,174597,4,0.0,Surf Rock Sunshine
71,Good Morning,Shawcross,Warned You,67LKZcv1J2Yj4pk5UIuFQW,0.507,0.428,6,-4.677,1,0.0263,0.149,0.101,0.406,138.163,133129,4,0.0,Surf Rock Sunshine
72,Horsebeach,II,It's Alright,0ZAdCDeysyoh5BOpuSGKy3,0.584,0.621,11,-9.863,1,0.0251,0.0753,0.113,0.694,110.317,310000,4,43.0,Surf Rock Sunshine
73,Summer Salt,Fire Flower,Fire Flower,4zSZfVqbXLFFvNfT4RLDlM,0.612,0.511,3,-11.852,0,0.0283,0.121,0.42,0.333,101.998,250800,4,0.0,Surf Rock Sunshine
74,Hazel English,Just Give In / Never Going Home,That Thing,6IDcZXJXQzIfhkjlvVB3Gp,0.608,0.702,6,-6.66,0,0.0247,0.131,0.311,0.28,104.057,188093,4,41.0,Surf Rock Sunshine
75,The Morning Benders,Big Echo,Excuses,2ARB3fKvRkMGhAtZuTnE5J,0.438,0.806,5,-5.717,1,0.0395,0.0551,0.237,0.489,96.156,317427,3,0.0,Surf Rock Sunshine
76,Real Estate,Atlas,Talking Backwards,0ZwlxoHAnvkCRjsOrHAleU,0.408,0.875,5,-6.036,1,0.0301,0.823,0.169,0.56,150.782,187733,4,56.0,Surf Rock Sunshine
77,La Luz,Watching Cartoons,Watching Cartoons,3IIZJE9HWQM0dkBBwL8TSW,0.57,0.667,0,-8.108,1,0.0294,0.79,0.158,0.683,125.658,208907,4,39.0,Surf Rock Sunshine
78,Verzache,My Head is a Moshpit,All I Need,4K6e6JiR1KFohWedXSnvob,0.663,0.786,9,-5.325,1,0.0353,1.96e-06,0.0957,0.319,145.977,203751,4,59.0,Surf Rock Sunshine
79,Blonde Tongues,Blonde Tongues,Hey Good Lookin',6bKHrmhfMFhlXqYR6zfPt9,0.201,0.771,10,-6.914,1,0.0401,0.847,0.112,0.0984,155.068,347000,3,44.0,Surf Rock Sunshine
