,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
31,J. Cole,Born Sinner,Let Nas Down,26RcjBcThMrZ8KvsqApOvN,0.458,0.74,9,-5.65,0,0.245,0.0,0.296,0.37,79.255,277200,4,0.0,Blue
32,King Chip,CleveLAfornia,Smoke It If You Got One (feat. Asher Roth),6Ky0DcxghSCkuw3YdCTK8c,0.537,0.449,10,-8.159,0,0.0576,2.61e-05,0.133,0.216,179.99,298667,4,44.0,Blue
33,Pell,Patience,Patience,7FBOzCWgSrDyhcS3IzBwmJ,0.682,0.664,2,-6.88,1,0.0692,1.6e-06,0.558,0.421,74.997,211287,4,15.0,Blue
34,Sam Stan,Happy Raps,Plz Don't,5ILSyr8LAUzyb5DYkgWmD0,0.798,0.533,8,-10.279,1,0.102,0.00403,0.0742,0.405,110.153,181133,4,27.0,Blue
35,Berhana,Berhana,Janet,0oqkw7Q8tQ7mcWYEx0QXxI,0.81,0.308,0,-8.194,1,0.0818,0.0,0.0899,0.56,120.012,204000,4,0.0,Blue
36,Like,Songs Made While High,Blah Loops,5EKg3cx2v8v48dqlKp6GjO,0.688,0.743,1,-6.88,1,0.111,0.00274,0.116,0.572,88.513,224500,4,34.0,Blue
37,Dr. Dog,The Psychedelic Swamp,Engineer Says,5mCpBoZKqoV9Vh5iS1LJ6L,0.62,0.703,2,-6.627,1,0.048,0.295,0.123,0.606,131.097,249375,4,32.0,Blue
38,Danny Brown,Hot Soup,Let's Go,5YPMcT7Je01NAqFd3LMlQL,0.742,0.849,9,-4.825,0,0.0645,0.0,0.28,0.809,102.556,149934,4,48.0,Blue
39,Avito,Don Kno (Remix),Don Kno - Remix,5zyUVnSENK20aG8PCYuqzV,0.857,0.612,2,-4.883,1,0.0682,0.0,0.0922,0.108,135.094,163605,4,20.0,Blue
40,Alex Wiley,Tangerine Dream,Chill,4avJdGczWTwlW3UxLa85sD,0.574,0.591,2,-7.729,0,0.273,0.0,0.129,0.603,138.263,206408,4,21.0,Blue
41,Alex Wiley,Village Party III: Stoner Symphony,Time,0Uj0CURdLH19NssxuTt3gK,0.581,0.694,0,-7.247,1,0.167,0.000801,0.638,0.185,77.015,250246,4,18.0,Blue
42,Atlas Genius,When It Was Now (Deluxe Edition),Trojans,4AyoAGuhE8gydBPrczuhbl,0.721,0.822,7,-4.843,1,0.0391,7.01e-05,0.0898,0.536,140.002,217387,4,50.0,Blue
